GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
42129,73,2979,7084,10063,17036,608,3570,17490,41590,59070
42017,73,1500,3504,5004,14638,318,2180,10250,23940,34190
13021,66,1593,1508,3101,7871,254,3230,20240,19160,39400
8113,67,23,44,67,135,11,1490,17040,32600,49630
51059,56,1721,2784,4505,24185,480,1990,7120,11520,18630
39133,68,1187,2736,3923,6567,407,6200,18080,41670,59740
50007,67,579,1591,2170,4906,154,3140,11810,32430,44240
20087,66,205,238,443,1129,63,5580,18160,21080,39240
41009,65,587,862,1449,3174,172,5420,18500,27160,45660
41039,70,3466,6978,10444,24313,954,3930,14260,28700,42960
8011,72,99,119,218,420,23,5480,23580,28340,51910
13109,68,99,89,188,443,17,3840,22350,20090,42440
13077,62,818,1214,2032,5751,263,4580,14230,21110,35340
47099,67,386,449,835,1627,75,4610,23730,27600,51330
53019,71,113,187,300,638,18,2830,17720,29310,47030
40025,80,19,12,31,80,11,6250,23750,15000,38750
29129,75,44,55,99,203,11,3940,21680,27100,48770
30037,72,20,13,33,83,11,2410,24100,15670,39760
42119,71,168,295,463,1091,33,3030,15400,27040,42440
13191,68,154,202,356,719,22,3060,21420,28100,49520
18145,67,460,555,1015,1960,125,6380,23470,28320,51790
51043,68,88,144,232,664,22,3320,13260,21690,34940
56003,72,141,286,427,743,27,3640,18980,38500,57470
26133,70,238,352,590,1105,53,4800,21540,31860,53400
19189,75,98,144,242,546,14,2570,17950,26380,44330
30015,68,93,93,186,374,12,3210,24870,24870,49740
31183,70,11,11,12,37,11,0,16220,16220,32440
28113,70,407,355,762,1948,57,2930,20900,18230,39120
42009,73,562,878,1440,3616,465,12860,15550,24280,39830
49007,70,164,297,461,794,32,4030,20660,37410,58060
72075,72,128,193,321,1917,11,370,6680,10070,16750
47161,61,355,356,711,1348,107,7940,26340,26410,52750
48025,66,169,285,454,1015,25,2470,16650,28080,44730
16047,72,142,283,425,694,29,4180,20470,40780,61240
49003,66,192,391,583,1521,96,6320,12630,25710,38330
29087,73,41,57,98,250,11,2400,16400,22800,39200
47007,68,161,222,383,622,23,3700,25890,35700,61580
48437,72,70,60,130,292,27,9250,23980,20550,44520
72085,67,58,116,174,828,13,1570,7010,14010,21020
31129,78,58,63,121,316,11,2850,18360,19940,38300
31073,75,29,42,71,151,11,3320,19210,27820,47020
37079,68,144,215,359,724,24,3320,19890,29700,49590
23009,70,441,1062,1503,2955,98,3320,14930,35940,50870
13053,48,71,66,137,587,15,2560,12100,11250,23340
37197,71,327,533,860,1548,76,4910,21130,34440,55560
72065,71,65,198,263,796,11,760,8170,24880,33040
30017,71,167,212,379,1055,18,1710,15830,20100,35930
21025,71,184,230,414,647,31,4800,28440,35550,63990
13137,69,290,437,727,1570,52,3320,18480,27840,46310
17095,73,550,723,1273,2458,89,3620,22380,29420,51790
23023,67,277,856,1133,2570,50,1950,10780,33310,44090
39027,67,432,401,833,1917,108,5640,22540,20920,43460
42029,71,2346,6345,8691,19467,496,2550,12060,32600,44650
55003,71,159,277,436,771,26,3380,20630,35930,56550
46021,76,14,28,42,79,11,0,17730,35450,53170
48325,62,480,810,1290,3271,104,3180,14680,24770,39440
12109,64,1880,3183,5063,13711,568,4150,13720,23220,36930
13149,69,101,82,183,419,21,5020,24110,19570,43680
40103,68,124,113,237,431,40,9280,28770,26220,54990
21219,63,112,106,218,470,42,8940,23830,22560,46390
20031,70,62,88,150,390,24,6160,15900,22570,38470
30003,68,94,79,173,421,11,2140,22330,18770,41100
39001,73,364,392,756,1519,68,4480,23970,25810,49770
48293,70,311,327,638,1166,72,6180,26680,28050,54720
38089,68,313,341,654,1368,51,3730,22880,24930,47810
29197,75,48,54,102,191,11,1050,25130,28280,53410
49009,72,11,29,37,77,11,2600,10390,37670,48060
41011,72,1102,1817,2919,6475,264,4080,17020,28070,45090
21117,67,1400,1602,3002,6110,397,6500,22920,26220,49140
29047,65,1685,2437,4122,9519,565,5940,17710,25610,43310
31037,75,55,85,140,303,12,3960,18160,28060,46210
33017,66,809,2081,2890,5396,234,4340,15000,38570,53560
27091,76,178,381,559,1260,34,2700,14130,30240,44370
51007,68,139,225,364,685,28,4090,20300,32850,53140
20157,75,40,48,88,234,11,4280,17100,20520,37610
20147,76,43,88,131,301,15,4990,14290,29240,43530
6107,67,1646,3620,5266,10591,298,2820,15550,34180,49730
46099,66,1874,2753,4627,11422,597,5230,16410,24110,40510
27063,75,93,166,259,540,16,2970,17230,30740,47970
49047,68,178,365,543,1054,37,3510,16890,34630,51520
18155,69,120,141,261,441,14,3180,27210,31980,59190
19069,76,100,150,250,523,24,4590,19120,28680,47810
22097,69,781,1014,1795,3460,64,1850,22580,29310,51880
51017,73,47,65,112,199,11,3020,23620,32670,56290
47157,64,7541,5094,12635,39072,9658,24720,19300,13040,32340
13135,59,2714,4260,6974,20002,960,4800,13570,21300,34870
22121,66,145,170,315,864,26,3010,16790,19680,36460
29139,71,165,189,354,702,26,3710,23510,26930,50430
53021,69,309,616,925,2753,86,3130,11230,22380,33600
38071,72,147,175,322,706,18,2550,20830,24790,45610
25021,70,1991,5732,7723,18554,566,3050,10730,30900,41630
